job_title,experience_level,salary_in_usd,employee_residence,ppp_2024,salary_ppp_adjusted
Machine Learning Engineer,SE,280000,US,1.0,280000.0
Machine Learning Engineer,SE,184000,US,1.0,184000.0
Machine Learning Engineer,SE,302900,US,1.0,302900.0
Machine Learning Engineer,SE,302900,US,1.0,302900.0
Data Engineer,MI,179500,US,1.0,179500.0
Data Engineer,MI,149500,US,1.0,149500.0
Data Architect,SE,238000,US,1.0,238000.0
Data Architect,SE,149000,US,1.0,149000.0
Data Scientist,SE,190000,US,1.0,190000.0
Data Scientist,SE,148000,US,1.0,148000.0
Data Modeler,SE,162225,US,1.0,162225.0
Data Modeler,SE,139050,US,1.0,139050.0
Data Engineer,SE,190000,US,1.0,190000.0
Data Engineer,SE,105301,US,1.0,105301.0
Data Scientist,SE,180000,US,1.0,180000.0
Data Scientist,SE,139000,US,1.0,139000.0
Data Analyst,SE,62500,GB,0.664153,94104.82223222661
Data Analyst,SE,55000,GB,0.664153,82812.24356435942
Machine Learning Engineer,SE,252000,US,1.0,252000.0
Machine Learning Engineer,SE,168000,US,1.0,168000.0
Data Engineer,MI,85000,US,1.0,85000.0
Data Engineer,MI,74880,US,1.0,74880.0
Machine Learning Engineer,SE,260000,US,1.0,260000.0
Machine Learning Engineer,SE,160000,US,1.0,160000.0
Data Engineer,SE,190000,US,1.0,190000.0
Data Engineer,SE,150000,US,1.0,150000.0
Research Engineer,MI,234000,US,1.0,234000.0
Research Engineer,MI,176000,US,1.0,176000.0
Data Engineer,MI,125000,US,1.0,125000.0
Data Engineer,MI,100000,US,1.0,100000.0
ML Engineer,SE,155000,US,1.0,155000.0
ML Engineer,SE,100000,US,1.0,100000.0
Data Engineer,MI,184000,US,1.0,184000.0
Data Engineer,MI,123000,US,1.0,123000.0
Data Modeler,SE,140000,US,1.0,140000.0
Data Modeler,SE,130000,US,1.0,130000.0
Data Scientist,MI,159550,US,1.0,159550.0
Data Scientist,MI,113000,US,1.0,113000.0
ML Engineer,SE,120000,US,1.0,120000.0
ML Engineer,SE,75000,US,1.0,75000.0
AI Scientist,SE,166000,US,1.0,166000.0
AI Scientist,SE,110781,US,1.0,110781.0
Data Scientist,MI,121500,US,1.0,121500.0
Data Scientist,MI,88200,US,1.0,88200.0
Data Scientist,SE,195800,US,1.0,195800.0
Data Scientist,SE,161900,US,1.0,161900.0
Data Analyst,SE,142166,US,1.0,142166.0
Data Analyst,SE,88854,US,1.0,88854.0
Business Intelligence Developer,EN,137000,US,1.0,137000.0
Business Intelligence Developer,EN,60400,US,1.0,60400.0
Data Architect,SE,178090,US,1.0,178090.0
Data Architect,SE,92118,US,1.0,92118.0
Head of Data,EX,257500,US,1.0,257500.0
Head of Data,EX,190000,US,1.0,190000.0
AI Engineer,MI,176000,US,1.0,176000.0
AI Engineer,MI,106500,US,1.0,106500.0
Business Intelligence,MI,125500,US,1.0,125500.0
Business Intelligence,MI,78000,US,1.0,78000.0
Data Engineer,SE,200000,US,1.0,200000.0
Data Engineer,SE,96000,US,1.0,96000.0
Business Intelligence Analyst,EN,192500,US,1.0,192500.0
Business Intelligence Analyst,EN,140000,US,1.0,140000.0
Data Engineer,SE,220000,US,1.0,220000.0
Data Engineer,SE,96600,US,1.0,96600.0
Data Engineer,SE,195500,US,1.0,195500.0
Data Engineer,SE,117300,US,1.0,117300.0
Data Engineer,SE,156000,US,1.0,156000.0
Data Engineer,SE,124000,US,1.0,124000.0
Data Architect,SE,178090,US,1.0,178090.0
Data Architect,SE,81978,US,1.0,81978.0
Data Engineer,SE,142500,US,1.0,142500.0
Data Engineer,SE,90000,US,1.0,90000.0
Data Architect,SE,74276,GB,0.664153,111835.67641793382
Data Architect,SE,60437,GB,0.664153,90998.61025998527
Data Scientist,MI,176000,US,1.0,176000.0
Data Scientist,MI,72700,US,1.0,72700.0
Data Engineer,MI,132600,US,1.0,132600.0
Data Engineer,MI,80845,US,1.0,80845.0
Data Engineer,EX,250000,US,1.0,250000.0
Data Engineer,EX,150000,US,1.0,150000.0
Data Management Specialist,MI,79000,US,1.0,79000.0
Data Management Specialist,MI,72000,US,1.0,72000.0
Data Scientist,SE,230800,US,1.0,230800.0
Data Scientist,SE,96200,US,1.0,96200.0
Data Scientist,EN,187415,US,1.0,187415.0
Data Scientist,EN,114080,US,1.0,114080.0
Business Intelligence Lead,EN,187415,US,1.0,187415.0
Business Intelligence Lead,EN,114080,US,1.0,114080.0
Data Engineer,SE,277000,US,1.0,277000.0
Data Engineer,SE,173000,US,1.0,173000.0
Data Engineer,MI,175000,US,1.0,175000.0
Data Engineer,MI,117000,US,1.0,117000.0
Data Architect,SE,193000,US,1.0,193000.0
Data Architect,SE,84600,US,1.0,84600.0
AI Engineer,SE,220000,US,1.0,220000.0
AI Engineer,SE,96600,US,1.0,96600.0
Data Analyst,SE,170000,US,1.0,170000.0
Data Analyst,SE,130000,US,1.0,130000.0
Data Scientist,MI,172000,US,1.0,172000.0
Data Scientist,MI,75600,US,1.0,75600.0
Machine Learning Scientist,SE,201000,US,1.0,201000.0
Machine Learning Scientist,SE,125500,US,1.0,125500.0
Business Intelligence Analyst,SE,187000,US,1.0,187000.0
Business Intelligence Analyst,SE,117000,US,1.0,117000.0
Data Analyst,EN,61700,US,1.0,61700.0
Data Analyst,EN,55000,US,1.0,55000.0
Data Engineer,MI,56250,GB,0.664153,84694.34000900395
Data Engineer,MI,43750,GB,0.664153,65873.37556255863
Business Intelligence Engineer,SE,165600,US,1.0,165600.0
Business Intelligence Engineer,SE,65800,US,1.0,65800.0
Data Engineer,MI,148000,US,1.0,148000.0
Data Engineer,MI,118000,US,1.0,118000.0
Data Scientist,SE,62500,GB,0.664153,94104.82223222661
Data Scientist,SE,62500,GB,0.664153,94104.82223222661
ML Engineer,MI,252000,US,1.0,252000.0
ML Engineer,MI,168000,US,1.0,168000.0
Data Engineer,SE,149076,US,1.0,149076.0
Data Engineer,SE,82365,US,1.0,82365.0
Data Engineer,SE,160000,US,1.0,160000.0
Data Engineer,SE,120000,US,1.0,120000.0
Data Engineer,SE,160000,US,1.0,160000.0
Data Engineer,SE,115000,US,1.0,115000.0
Data Engineer,MI,193000,US,1.0,193000.0
Data Engineer,MI,128000,US,1.0,128000.0
ML Engineer,SE,220000,US,1.0,220000.0
ML Engineer,SE,170000,US,1.0,170000.0
Machine Learning Engineer,SE,189000,US,1.0,189000.0
Machine Learning Engineer,SE,136000,US,1.0,136000.0
Business Intelligence Engineer,MI,185000,US,1.0,185000.0
Business Intelligence Engineer,MI,79600,US,1.0,79600.0
Applied Scientist,MI,210000,US,1.0,210000.0
Applied Scientist,MI,160000,US,1.0,160000.0
Data Science,EX,200000,US,1.0,200000.0
Data Science,EX,160000,US,1.0,160000.0
Machine Learning Engineer,SE,150000,US,1.0,150000.0
Machine Learning Engineer,SE,90000,US,1.0,90000.0
Machine Learning Engineer,MI,208200,US,1.0,208200.0
Machine Learning Engineer,MI,124900,US,1.0,124900.0
Data Engineer,SE,150000,US,1.0,150000.0
Data Engineer,SE,130000,US,1.0,130000.0
Machine Learning Engineer,SE,189000,US,1.0,189000.0
Machine Learning Engineer,SE,160000,US,1.0,160000.0
Data Engineer,SE,255475,US,1.0,255475.0
Data Engineer,SE,185800,US,1.0,185800.0
Data Engineer,SE,220000,US,1.0,220000.0
Data Engineer,SE,170000,US,1.0,170000.0
Machine Learning Engineer,SE,220000,US,1.0,220000.0
Machine Learning Engineer,SE,170000,US,1.0,170000.0
Data Analyst,SE,113800,US,1.0,113800.0
Data Analyst,SE,74400,US,1.0,74400.0
Machine Learning Engineer,SE,260000,US,1.0,260000.0
Data Scientist,MI,180000,US,1.0,180000.0
Data Scientist,MI,140000,US,1.0,140000.0
Business Intelligence Engineer,SE,108500,US,1.0,108500.0
Business Intelligence Engineer,SE,78800,US,1.0,78800.0
Machine Learning Engineer,SE,252000,US,1.0,252000.0
Machine Learning Engineer,SE,181000,US,1.0,181000.0
Data Scientist,SE,301126,US,1.0,301126.0
Data Scientist,SE,210788,US,1.0,210788.0
Data Analyst,SE,147500,US,1.0,147500.0
Data Analyst,SE,85000,US,1.0,85000.0
Data Architect,SE,175000,US,1.0,175000.0
Data Architect,SE,117000,US,1.0,117000.0
Business Intelligence Analyst,EN,157400,US,1.0,157400.0
Business Intelligence Analyst,EN,98600,US,1.0,98600.0
Data Analyst,EN,83000,US,1.0,83000.0
Data Analyst,EN,64000,US,1.0,64000.0
Data Engineer,SE,200000,US,1.0,200000.0
Data Engineer,SE,90000,US,1.0,90000.0
ML Engineer,SE,250000,US,1.0,250000.0
ML Engineer,SE,190000,US,1.0,190000.0
ML Engineer,SE,258750,US,1.0,258750.0
ML Engineer,SE,191250,US,1.0,191250.0
ML Engineer,EN,177100,US,1.0,177100.0
ML Engineer,EN,130900,US,1.0,130900.0
Data Analyst,EN,99200,US,1.0,99200.0
Data Analyst,EN,69400,US,1.0,69400.0
Encounter Data Management Professional,MI,79500,US,1.0,79500.0
Encounter Data Management Professional,MI,57700,US,1.0,57700.0
Data Engineer,SE,179000,US,1.0,179000.0
Data Engineer,SE,112000,US,1.0,112000.0
Machine Learning Engineer,SE,206000,US,1.0,206000.0
Machine Learning Engineer,SE,97335,US,1.0,97335.0
Machine Learning Engineer,MI,223900,US,1.0,223900.0
Machine Learning Engineer,MI,140100,US,1.0,140100.0
Data Architect,SE,93750,GB,0.664153,141157.2333483399
Data Architect,SE,81250,GB,0.664153,122336.2689018946
Data Manager,SE,144300,US,1.0,144300.0
Data Manager,SE,104800,US,1.0,104800.0
Business Intelligence,MI,168000,US,1.0,168000.0
Business Intelligence,MI,78400,US,1.0,78400.0
Data Analyst,SE,207300,US,1.0,207300.0
Data Analyst,SE,114700,US,1.0,114700.0
Data Scientist,SE,265000,US,1.0,265000.0
Data Scientist,SE,220000,US,1.0,220000.0
Business Intelligence Analyst,SE,120000,US,1.0,120000.0
Business Intelligence Analyst,SE,100000,US,1.0,100000.0
Machine Learning Engineer,SE,306000,US,1.0,306000.0
Machine Learning Engineer,SE,151600,US,1.0,151600.0
Data Science,EX,300000,US,1.0,300000.0
Data Science,EX,220000,US,1.0,220000.0
Data Scientist,SE,167500,US,1.0,167500.0
Data Scientist,SE,138500,US,1.0,138500.0
Data Scientist,MI,194000,US,1.0,194000.0
Data Scientist,MI,125500,US,1.0,125500.0
Analytics Engineer,SE,118750,GB,0.664153,178799.16224123057
Analytics Engineer,SE,75000,GB,0.664153,112925.78667867194
Data Engineer,SE,194500,US,1.0,194500.0
Data Engineer,SE,147368,US,1.0,147368.0
Data Engineer,MI,165000,US,1.0,165000.0
Data Engineer,MI,117000,US,1.0,117000.0
Data Analyst,SE,170000,US,1.0,170000.0
Data Analyst,SE,148000,US,1.0,148000.0
Data Manager,SE,160500,US,1.0,160500.0
Data Manager,SE,107000,US,1.0,107000.0
Analytics Engineer,SE,500000,US,1.0,500000.0
Analytics Engineer,SE,80000,US,1.0,80000.0
Data Infrastructure Engineer,MI,241000,US,1.0,241000.0
Data Infrastructure Engineer,MI,189000,US,1.0,189000.0
Data Scientist,SE,167500,US,1.0,167500.0
Data Scientist,SE,138500,US,1.0,138500.0
Research Scientist,SE,200000,US,1.0,200000.0
Research Scientist,SE,148500,US,1.0,148500.0
Research Engineer,SE,273000,US,1.0,273000.0
Research Engineer,SE,166500,US,1.0,166500.0
Data Analyst,SE,106260,US,1.0,106260.0
Data Analyst,SE,82000,US,1.0,82000.0
Business Intelligence Analyst,MI,115000,US,1.0,115000.0
